lr-Adam,step,train_loss,L_comp,L_IC,L_phys,L_obs,L_ae,N_steps,epoch,val_loss
9.999999999999994e-05,4249,,,,,,,,,
9.999999999999994e-05,4249,,,,,,,,,
,4249,0.0627584457397461,0.015776779502630234,0.03622985631227493,0.005770158022642136,0.004783883225172758,0.0001977696956600994,11.0,59,
,4259,,,,,,,,59,0.038601648062467575
9.999999999999994e-05,4299,,,,,,,,,
9.999999999999994e-05,4299,,,,,,,,,
9.999999999999994e-05,4299,,,,,,,,,
,4299,0.07333150506019592,0.023395933210849762,0.03468705713748932,0.008019248954951763,0.00701212277635932,0.00021714433387387544,11.0,60,
,4330,,,,,,,,60,0.03753605857491493
9.999999999999994e-05,4349,,,,,,,,,
9.999999999999994e-05,4349,,,,,,,,,
9.999999999999994e-05,4349,,,,,,,,,
,4349,0.0672551691532135,0.01813453435897827,0.033206500113010406,0.008594529703259468,0.007112945429980755,0.00020666317141149193,11.0,61,
9.999999999999994e-05,4399,,,,,,,,,
9.999999999999994e-05,4399,,,,,,,,,
9.999999999999994e-05,4399,,,,,,,,,
,4399,0.059938814491033554,0.016324231401085854,0.031128793954849243,0.006887335330247879,0.005391895305365324,0.00020655986736528575,11.0,61,
,4401,,,,,,,,61,0.036070115864276886
9.999999999999994e-05,4449,,,,,,,,,
9.999999999999994e-05,4449,,,,,,,,,
9.999999999999994e-05,4449,,,,,,,,,
,4449,0.04369078576564789,0.00607752799987793,0.027304120361804962,0.005516053643077612,0.004611276090145111,0.0001818073506001383,11.0,62,
,4472,,,,,,,,62,0.038237616419792175
9.999999999999994e-05,4499,,,,,,,,,
9.999999999999994e-05,4499,,,,,,,,,
9.999999999999994e-05,4499,,,,,,,,,
,4499,0.05080977454781532,0.011739091947674751,0.025339893996715546,0.0075344243086874485,0.006019221618771553,0.00017714239947963506,11.0,63,
,4543,,,,,,,,63,0.03606005012989044
9.999999999999994e-05,4549,,,,,,,,,
9.999999999999994e-05,4549,,,,,,,,,
9.999999999999994e-05,4549,,,,,,,,,
,4549,0.07272526621818542,0.021145224571228027,0.03915484622120857,0.006884930655360222,0.005363574251532555,0.0001766880159266293,11.0,64,
9.999999999999994e-05,4599,,,,,,,,,
9.999999999999994e-05,4599,,,,,,,,,
9.999999999999994e-05,4599,,,,,,,,,
,4599,0.05906148999929428,0.016408449038863182,0.02986084669828415,0.006795650348067284,0.005841932725161314,0.00015460795839317143,11.0,64,
